judge_id,candidate_id,case_id,run_index,correct_diagnosis_index
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2402498,1,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412533,0,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2402496,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300908,2,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2402493,0,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300907,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300905,2,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211356,1,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2402493,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412526,2,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300973,1,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2211422,2,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300904,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2402498,1,2
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412538,1,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300907,1,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412531,2,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2300903,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2100279,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412538,0,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412524,1,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412531,2,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2300968,1,2
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412518,0,
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412513,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412531,2,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2402492,2,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412513,2,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300968,2,3
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2211421,1,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412513,1,1
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2201248,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309383,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300970,1,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2300972,0,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300972,2,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211421,0,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412533,1,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412516,1,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2402498,0,2
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412518,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300900,2,0
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2402493,0,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300897,2,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412537,2,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2300970,2,
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc1909622,2,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2211422,2,
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412515,0,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2300974,0,1
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412538,2,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412539,2,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412537,0,0
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2309383,0,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2402499,2,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2301033,1,0
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412516,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211422,1,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412522,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2301032,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412539,1,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412538,2,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2301032,2,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412516,2,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300911,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2412537,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2201248,2,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412518,1,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300904,2,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412531,2,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412522,1,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2211421,1,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2300904,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309383,2,
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2201249,1,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412537,2,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2201249,0,
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2412516,2,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2309498,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309383,1,
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2300904,1,0
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2300907,2,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2402493,1,0
gemini-2.5-flash-lite,o3-2025-04-16,NEJMcpc2412513,1,0
gemini-2.5-flash-lite,llama-3.1-8b-instant,NEJMcpc2402496,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2412524,2,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211356,1,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2211356,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412539,0,
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2402493,1,0
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300974,2,
gemini-2.5-flash-lite,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300904,0,0
gemini-2.5-flash-lite,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2100279,0,
gemini-2.5-flash-lite,llama-3.3-70b-versatile,NEJMcpc2412522,2,0
