judge_id	candidate_id	case_id	run_index	correct_diagnosis_index
gpt-5-mini	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2100279	0	
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc1909622	2	
gemini-2.5-flash-lite	llama-3.1-8b-instant	NEJMcpc2412531	2	
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2211421	1	
gpt-5-mini	o3-2025-04-16	NEJMcpc2201249	2	
gpt-5-2025-08-07	o3-2025-04-16	NEJMcpc2412517	0	
gpt-5-2025-08-07	llama-3.3-70b-versatile	NEJMcpc2412520	0	4
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300903	2	
gemini-2.5-flash	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2300903	2	
gemini-2.5-flash	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2201248	0	
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc2211356	1	
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412537	0	
gemini-2.5-flash-lite	o3-2025-04-16	NEJMcpc2412532	0	
gpt-5-2025-08-07	llama-3.3-70b-versatile	NEJMcpc2301033	0	
gemini-2.5-flash-lite	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2412528	0	0
gemini-2.5-flash-lite	llama-3.3-70b-versatile	NEJMcpc2300973	0	
gemini-2.5-flash-lite	llama-3.3-70b-versatile	NEJMcpc2300908	2	0
gpt-5-2025-08-07	llama-3.1-8b-instant	NEJMcpc2201249	2	
gemini-2.5-flash-lite	llama-3.1-8b-instant	NEJMcpc2402496	0	0
gemini-2.5-flash	o3-2025-04-16	NEJMcpc2412515	0	
gemini-2.5-flash	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412531	2	
gemini-2.5-flash	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2300974	1	
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc2201248	0	
gemini-2.5-flash-lite	llama-3.3-70b-versatile	NEJMcpc2412538	1	2
gpt-5-2025-08-07	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2402499	0	
gemini-2.5-flash	llama-3.1-8b-instant	NEJMcpc2412513	1	1
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300974	1	
gpt-5-mini	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2412527	2	
gpt-5-2025-08-07	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2412531	1	
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412515	2	
gemini-2.5-flash	o3-2025-04-16	NEJMcpc2412515	2	0
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc2412524	0	
gemini-2.5-flash	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412527	0	
gemini-2.5-flash	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412522	1	
gpt-5-2025-08-07	llama-3.3-70b-versatile	NEJMcpc2201248	2	
gemini-2.5-flash	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2211422	1	
gemini-2.5-flash	o3-2025-04-16	NEJMcpc2300907	2	
gemini-2.5-flash	llama-3.3-70b-versatile	NEJMcpc2300968	1	3
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc2300900	1	
gemini-2.5-flash-lite	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412538	2	0
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300974	0	
gpt-5-mini	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412537	0	
gemini-2.5-flash	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2300903	0	
gemini-2.5-flash-lite	o3-2025-04-16	NEJMcpc2300906	1	
gpt-5-2025-08-07	o3-2025-04-16	NEJMcpc2412517	1	
gpt-5-mini	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412514	2	0
gemini-2.5-flash	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300904	1	
gpt-5-mini	o3-2025-04-16	NEJMcpc2300904	0	
gemini-2.5-flash-lite	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300906	1	
gpt-5-2025-08-07	llama-3.1-8b-instant	NEJMcpc2309348	2	0
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2309498	1	
gpt-5-mini	o3-2025-04-16	NEJMcpc2300906	2	
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc2412524	2	0
gpt-5-mini	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2412515	2	
gpt-5-mini	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300910	2	
gpt-5-2025-08-07	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2412538	1	0
gemini-2.5-flash	llama-3.3-70b-versatile	NEJMcpc2412516	1	1
gemini-2.5-flash-lite	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300907	0	
gpt-5-mini	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2300900	2	0
gemini-2.5-flash-lite	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2300910	0	
gpt-5-mini	llama-3.3-70b-versatile	NEJMcpc2201240	0	
gpt-5-mini	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2300972	0	
gemini-2.5-flash	llama-3.3-70b-versatile	NEJMcpc2412515	1	
gemini-2.5-flash	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2300904	0	
gemini-2.5-flash-lite	llama-3.1-8b-instant	NEJMcpc2300968	1	
gemini-2.5-flash-lite	llama-3.1-8b-instant	NEJMcpc2412527	1	
gpt-5-mini	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2211421	2	
gemini-2.5-flash	llama-3.3-70b-versatile	NEJMcpc2402493	2	
gpt-5-2025-08-07	llama-3.1-8b-instant	NEJMcpc2300906	1	
gpt-5-mini	llama-3.3-70b-versatile	NEJMcpc2412522	0	
gpt-5-2025-08-07	o3-2025-04-16	NEJMcpc2412514	0	0
gpt-5-2025-08-07	meta-llama/llama-4-scout-17b-16e-instruct	NEJMcpc2402493	2	
gpt-5-mini	o3-2025-04-16	NEJMcpc2402498	2	
gpt-5-mini	llama-3.1-8b-instant	NEJMcpc2300907	0	
gpt-5-mini	llama-3.3-70b-versatile	NEJMcpc2412531	2	
gemini-2.5-flash	llama-3.3-70b-versatile	NEJMcpc2300974	0	
gemini-2.5-flash	o3-2025-04-16	NEJMcpc2412513	2	
gemini-2.5-flash-lite	o3-2025-04-16	NEJMcpc2412539	1	
gpt-5-2025-08-07	o3-2025-04-16	NEJMcpc2412527	2	
gpt-5-2025-08-07	llama-3.1-8b-instant	NEJMcpc2211422	1	
gemini-2.5-flash-lite	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2412515	1	
gpt-5-mini	o3-2025-04-16	NEJMcpc2300973	2	
gemini-2.5-flash-lite	llama-3.3-70b-versatile	NEJMcpc2309382	2	0
gpt-5-2025-08-07	meta-llama/llama-4-maverick-17b-128e-instruct	NEJMcpc2412515	0	
